Term,Neg_Sim_Mean,Pos_Sim_Mean,Bias_Score,P_Value,Significant
me,0.8675438,0.8908266,-0.023282766,0.1595124513532008,False
us,0.8762156,0.90135306,-0.025137484,0.16584414735017075,False
I,0.85346663,0.87862456,-0.025157928,0.12099882338551728,False
AI,0.8464953,0.87255496,-0.026059687,0.0987210162790668,False
LLM,0.82495546,0.8511286,-0.026173115,0.043109800772420416,True
we,0.86435986,0.89062643,-0.026266575,0.12322086387512168,False
chatbot,0.85119027,0.8807901,-0.029599845,0.0909048208485409,False
my,0.8812784,0.911009,-0.029730618,0.14736792906102128,False
myself,0.87802,0.90786093,-0.029840946,0.1967864437198665,False
language model,0.8525015,0.8831452,-0.030643702,0.15161776887417644,False
artificial intelligence,0.8652586,0.89590704,-0.03064847,0.16077449017928322,False
system,0.8805965,0.91175014,-0.03115362,0.11107877101954651,False
machine learning,0.858825,0.89147246,-0.03264743,0.13697749556251276,False
assistant,0.8856627,0.91897887,-0.033316195,0.13152124880777946,False
model,0.8747889,0.90820485,-0.033415973,0.11233437194858929,False
neural network,0.8464227,0.88041604,-0.033993363,0.09877945717856662,False
our,0.88240385,0.91819537,-0.035791516,0.1416545445256116,False
